1,1,1,"You wake up with a start after having the contents of a ice water bucket thrown in your face. ""Where am I? What's going on?"". The questions loop around in your head confused by the rude awakening. Beginning to regain some lucidity, you then notice with amazement that you are sitting on the ground, your hands tied behind your back. As you look up, you see the man who just threw the bucket of water at you.

""Where's your camp?"" the man in front of you asked, shouting as if he thought you were deaf. 

""Camp, camp, camp..."" that word echoes in your head still panicked and alert. The sharp pain at the base of your skull lets you know that you have not been roused from your sleep but taken away by force after being violently knocked out. This guy wants to know the location of the camp where you recently found refuge and were taken in when you were in bad shape.",1,5,3,2,img:basement.jpg,0,You give the guy what he wants,You try to stand up to the interrogation and refuse to give information,You say nothing and look around for an escape plan,100,apparel:1;apparel:2,10,
2,1,2,"You observe the place you are in. It seems to be some kind of cellar in the basement of a ruined house. There are small windows at the top of the walls, most of them broken, which could allow you to escape through them. There are quite a few tools also lying around on the floor or on a table that seems to serve as a makeshift workbench. You make a quick inventory of what your confused look manages to identify: hammers, screwdrivers, ropes, chains, and ... A body lying on a mattress at the back of the room.

Obviously, your captors are no joke and either the guy at the back was less lucky, or he was already pretty beat up because even a ghoul looks better than what would appear to be the remains of his face.

""Are you deaf or something? I asked you where your camp is!""

Your interrogator becomes more and more urgent, as if he is under pressure to get results as soon as possible. He then grabs some kind of crowbar and brandishes it with a threatening look. You don't really want to end up like the one who seems to have been your predecessor.",1,5,3,,img:basement.jpg,0,You try to lie about the location of the camp,You refuse to answer,,100,,6,
3,1,3,"""What camp?"" you answer your attacker. You refuse to tell him anything about the last place you took refuge. Rusty Springs took you in while you were injured and being chased under circumstances you no longer remember.

""Don't fuck with me!"" the interrogator yelled, sputtering. For a moment, you have a doubt between whether sitting on the floor of this basement, hearing this guy scream, smelling his putrid odor, or his spitting is the most unpleasant.

But this was not the time for such trivial questions, especially when the gorilla in front of you grabs some kind of crowbar and brandishes it in front of you with a threatening look.

He approaches once again and gives you a violent kick in the legs.

""I'm asking you one last time nicely. Where is your camp?""

You need to think fast, because the next summons might be with that metal rod.",1,5,4,,img:basement.jpg,0,You lie about the camp,You insist on refusing to answer,,0,,,
4,1,4,"The screaming gorilla backs up and starts pacing back and forth in the small cellar where you are standing. He paces back and forth in front of you as he rasps the crowbar on the floor.

""OK I see, so you intend to be of no use to us. All you have to do is tell us which camp you are from. We know there's one around here with enough resources to get through the coming winter.""

He turns around one last time in front of you and looks down on you. Your head is screaming in pain and still feeling the blow that brought you here, and your legs have joined the concert. For a moment, you feel a sense of relief just before you are hit hard in the head with the metal bar.

You collapse to the ground, your eyesight turns red, and you close your eyes thinking ""world of crap"". Still slightly conscious, you hear what seems to be a sudden huge crash and screams of panic, or is it your head injury that makes you imagine all this? 

Your last questions will remain unanswered as you lose consciousness.

You are dead.",1,,,,img:basement.jpg,1,,,,0,,,
5,1,5,"Rusty Springs took you in while you were wounded and being chased by assailants. You don't really remember all the details, but the warmth of the camp at a time when it was everyone for themselves made an impression on you.

So you hesitate to betray those who helped you in your time of need.

Still confused and totally unaware of your current location, you mutter something about a camp called Blightwoods, southeast of a Red Rocket station.

""Blightwoods? I don't know about that... Do you think I'm a fool ?""

Unconvinced by your answer, he grabs some kind of crowbar and starts threatening you with it.

""Now you're going to tell me where your camp is, unless you want to end up like him.

The assailant points to a lying body that looks like it has been beaten up so badly that there is not much left to identify. Your assailant's insistence becomes more and more pressing, as if he himself were under pressure.",1,7,6,,img:basement.jpg,0,You maintain your story,You look around looking for a way out,,100,,,
6,1,6,"The sight of a corpse lying in the ground that seems to fit your near future forces you to come up with an idea, and hurry. Ignoring the pain and kept alert by the adrenaline coursing through your body, you scan the room you are in.

It appears that you are in some sort of basement of a ruined house. There are small windows at the top of the walls, most of which are broken, which could allow you to escape through them. There are also a lot of tools lying around on the floor or on a table that seems to serve as a makeshift workbench. You make a quick inventory of what your confused eyes manage to identify: hammers, screwdrivers, ropes, chains, etc.

""So you're going to answer me... FUCK!""

Your assailant is interrupted in his threatening tirade by a huge booming sound from outside. Screams of panic are heard from upstairs and your captor's acolytes seem to be running around as if preparing for an attack.

With your hands tied behind your back, you feel somewhat helpless. But your interrogator having slackened his attention on you for a moment, you then notice the presence of a knife on the table in front of you.",1,8,,,img:basement.jpg,0,Next,,,100,,,
7,1,7,"You maintain your story about Blightwood, a small settlement located southeast of a Red Rocket station. It would be built on the ruins of what seems to have been a small residential area of an ancient town, since ravaged by the nuclear strikes that have brought the world to the state as we know it.

Still not convinced, the aggressor loses patience and presses you more and more.

""Your story doesn't hold water, you're kidding me. You're going to tell me where your camp is really located otherwise this bar will be in your face!""

He brandished his crowbar again and was about to hit you in the legs with a heavy blow when suddenly a huge racket sounded from outside with wall-crushing roars and explosions.

""Damn they are here!!!"", exclaimed the gorilla.

You hear panicked screams upstairs, orders being shouted, people running around as if preparing for an attack. They are surely the acolytes of your captor. 

You take advantage of the sudden panic and, above all, that the attention on you has been diverted, to form an escape plan. You think of the knife on the table in front of you to cut your bonds and escape.",1,8,,,img:basement.jpg,0,Next,,,100,,,
8,1,8,"Like a bolt of lightning, a reddish flash of light spontaneously illuminated the cellar where you and your captor are standing. Screams could be heard on the upper floor. Not the disorganized screams of soldiers preparing for an assault, but screams of terror. 

""FUCK!"" your captor shouted. The gorilla was no longer interested in talking to you or even turning your head into scrambled eggs. Panic-stricken, he left the room in which you are, leaving you alone and abandoned to your fate in a bewildering din of roars, screams and red lightning.

You take advantage of this situation to get up and go and get the knife which is on the table in front of you. You manage as well as you can to cut the string which tied your wrists, you are finally free of your movements. Gradually coming to your senses, a flash of lucidity strikes you: ""... my gun!""

You look around the room, but you can't find your weapon or your ammunition. Your captors must have stolen them or left them where they took you. The only things that could be weapons that you find in the rush are the knife that was used to free you, and the crowbar that only minutes before threatened to become one with your head.

You take these objects with you and try to escape.",1,9,12,,img:basement.jpg,0,You go out the door,You go out the window,,100,weapon:1;weapon:2,,
9,1,9,"Armed with your crowbar, you open the door and suddenly come face to face with your captor.

""You!!!""

Your blood runs cold, he is about to attack you.",1,10,11,,img:basement.jpg,0,You attack him,You dodge him,,100,,,
10,1,10,"It is not without a certain irony that you brandish the crowbar and smash the skull of your captor. The gorilla falls and lies on the ground, what is left of its head covered with blood.

You can't help but feel a sense of satisfaction at seeing the roles reversed, but you won't enjoy this sick victory for too long.

At the top of the stairs leading to the cellar where you stand, you hear the voices of your captor's sidekicks.

""Boss! Boss! Where are you! They're here, we have to get out of here!""

Not feeling up to confronting a whole bunch of raiders, you opt to escape through the window after all.",1,12,,,img:basement.jpg,0,Next,,,100,,,
